Using cpu device
Logging to C:\Users\hntran\OneDrive - University of Tasmania\Documents\PhD\asv-path-replanning\asv-lidar\static_dynamic_obstacles\runs\tensorboard\ppo_formulation_seed0_v4_1
[CURRICULUM] t=0 -> scenario stage 1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 48.7     |
|    ep_rew_mean     | -259     |
| time/              |          |
|    fps             | 276      |
|    iterations      | 1        |
|    time_elapsed    | 18       |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 49.8         |
|    ep_rew_mean          | -273         |
| time/                   |              |
|    fps                  | 250          |
|    iterations           | 2            |
|    time_elapsed         | 40           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0043565645 |
|    clip_fraction        | 0.0381       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.0146      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.961        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00463     |
|    std                  | 0.993        |
|    value_loss           | 3.18         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.4        |
|    ep_rew_mean          | -185        |
| time/                   |             |
|    fps                  | 236         |
|    iterations           | 3           |
|    time_elapsed         | 64          |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.010174947 |
|    clip_fraction        | 0.0957      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.685       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.428       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0101     |
|    std                  | 0.992       |
|    value_loss           | 1.08        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.7        |
|    ep_rew_mean          | -188        |
| time/                   |             |
|    fps                  | 229         |
|    iterations           | 4           |
|    time_elapsed         | 89          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.007936668 |
|    clip_fraction        | 0.0621      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.754       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.366       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00833    |
|    std                  | 0.984       |
|    value_loss           | 0.893       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 64.7        |
|    ep_rew_mean          | -96.1       |
| time/                   |             |
|    fps                  | 222         |
|    iterations           | 5           |
|    time_elapsed         | 115         |
|    total_timesteps      | 25600       |
| train/                  |             |
|    approx_kl            | 0.009292386 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.8        |
|    explained_variance   | 0.847       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.303       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0134     |
|    std                  | 0.981       |
|    value_loss           | 0.586       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 63.7        |
|    ep_rew_mean          | -48.2       |
| time/                   |             |
|    fps                  | 184         |
|    iterations           | 6           |
|    time_elapsed         | 166         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.008211238 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.195       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0118     |
|    std                  | 0.976       |
|    value_loss           | 0.427       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 59.3         |
|    ep_rew_mean          | 35.6         |
| time/                   |              |
|    fps                  | 166          |
|    iterations           | 7            |
|    time_elapsed         | 215          |
|    total_timesteps      | 35840        |
| train/                  |              |
|    approx_kl            | 0.0077073285 |
|    clip_fraction        | 0.0809       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.78        |
|    explained_variance   | 0.833        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.271        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00913     |
|    std                  | 0.965        |
|    value_loss           | 0.476        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 61.2        |
|    ep_rew_mean          | 34.1        |
| time/                   |             |
|    fps                  | 160         |
|    iterations           | 8           |
|    time_elapsed         | 255         |
|    total_timesteps      | 40960       |
| train/                  |             |
|    approx_kl            | 0.008247201 |
|    clip_fraction        | 0.0865      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.76       |
|    explained_variance   | 0.807       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.257       |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.0102     |
|    std                  | 0.962       |
|    value_loss           | 0.318       |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 60.4         |
|    ep_rew_mean          | 77           |
| time/                   |              |
|    fps                  | 154          |
|    iterations           | 9            |
|    time_elapsed         | 297          |
|    total_timesteps      | 46080        |
| train/                  |              |
|    approx_kl            | 0.0074897357 |
|    clip_fraction        | 0.0866       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.76        |
|    explained_variance   | 0.838        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.0733       |
|    n_updates            | 80           |
|    policy_gradient_loss | -0.00623     |
|    std                  | 0.956        |
|    value_loss           | 0.256        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 59.5         |
|    ep_rew_mean          | 86.6         |
| time/                   |              |
|    fps                  | 148          |
|    iterations           | 10           |
|    time_elapsed         | 344          |
|    total_timesteps      | 51200        |
| train/                  |              |
|    approx_kl            | 0.0057780584 |
|    clip_fraction        | 0.0779       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.74        |
|    explained_variance   | 0.77         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.08         |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00438     |
|    std                  | 0.951        |
|    value_loss           | 0.248        |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.3        |
|    ep_rew_mean          | 71.2        |
| time/                   |             |
|    fps                  | 143         |
|    iterations           | 11          |
|    time_elapsed         | 392         |
|    total_timesteps      | 56320       |
| train/                  |             |
|    approx_kl            | 0.005957391 |
|    clip_fraction        | 0.0818      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.72       |
|    explained_variance   | 0.842       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0455      |
|    n_updates            | 100         |
|    policy_gradient_loss | -0.00708    |
|    std                  | 0.939       |
|    value_loss           | 0.165       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.4        |
|    ep_rew_mean          | 93.4        |
