Using cpu device
Logging to C:\Users\hntran\OneDrive - University of Tasmania\Documents\PhD\asv-path-replanning\asv-lidar\static_dynamic_obstacles\runs\tensorboard\ppo_formulation_seed1_v12_1
[CURRICULUM] t=0 -> scenario stage 1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.4     |
|    ep_rew_mean     | -284     |
| time/              |          |
|    fps             | 217      |
|    iterations      | 1        |
|    time_elapsed    | 23       |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 52.3         |
|    ep_rew_mean          | -247         |
| time/                   |              |
|    fps                  | 212          |
|    iterations           | 2            |
|    time_elapsed         | 48           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0027252757 |
|    clip_fraction        | 0.0105       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | -0.015       |
|    learning_rate        | 0.0003       |
|    loss                 | 0.947        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00343     |
|    std                  | 0.988        |
|    value_loss           | 2.88         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 54.2        |
|    ep_rew_mean          | -182        |
| time/                   |             |
|    fps                  | 213         |
|    iterations           | 3           |
|    time_elapsed         | 72          |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.008673733 |
|    clip_fraction        | 0.0776      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.676       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.42        |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0101     |
|    std                  | 0.986       |
|    value_loss           | 1.07        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 54.9       |
|    ep_rew_mean          | -169       |
| time/                   |            |
|    fps                  | 209        |
|    iterations           | 4          |
|    time_elapsed         | 97         |
|    total_timesteps      | 20480      |
| train/                  |            |
|    approx_kl            | 0.00733039 |
|    clip_fraction        | 0.0736     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.8       |
|    explained_variance   | 0.765      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.492      |
|    n_updates            | 30         |
|    policy_gradient_loss | -0.00896   |
|    std                  | 0.981      |
|    value_loss           | 0.922      |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58.9        |
|    ep_rew_mean          | -47.9       |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 5           |
|    time_elapsed         | 122         |
|    total_timesteps      | 25600       |
| train/                  |             |
|    approx_kl            | 0.008799836 |
|    clip_fraction        | 0.104       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.726       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.388       |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0123     |
|    std                  | 0.974       |
|    value_loss           | 1.15        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 56.1        |
|    ep_rew_mean          | -23.6       |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 6           |
|    time_elapsed         | 147         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.009276538 |
|    clip_fraction        | 0.0922      |
