Using cpu device
Logging to C:\Users\hntran\OneDrive - University of Tasmania\Documents\PhD\asv-path-replanning\asv-lidar\static_dynamic_obstacles\runs\tensorboard\ppo_formulation_seed0_v5_1
[CURRICULUM] t=0 -> scenario stage 1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.4     |
|    ep_rew_mean     | -254     |
| time/              |          |
|    fps             | 105      |
|    iterations      | 1        |
|    time_elapsed    | 48       |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.5         |
|    ep_rew_mean          | -171         |
| time/                   |              |
|    fps                  | 100          |
|    iterations           | 2            |
|    time_elapsed         | 101          |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0046683764 |
|    clip_fraction        | 0.0302       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | -0.0157      |
|    learning_rate        | 0.0003       |
|    loss                 | 0.763        |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00456     |
|    std                  | 0.997        |
|    value_loss           | 2.94         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 55.1        |
|    ep_rew_mean          | -183        |
| time/                   |             |
|    fps                  | 101         |
|    iterations           | 3           |
|    time_elapsed         | 151         |
|    total_timesteps      | 15360       |
| train/                  |             |
|    approx_kl            | 0.006279862 |
|    clip_fraction        | 0.0472      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.83       |
|    explained_variance   | 0.668       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.472       |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00721    |
|    std                  | 0.994       |
|    value_loss           | 1.16        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 57.1        |
|    ep_rew_mean          | -140        |
| time/                   |             |
|    fps                  | 100         |
|    iterations           | 4           |
|    time_elapsed         | 203         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.008031951 |
|    clip_fraction        | 0.0926      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.755       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.563       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00917    |
|    std                  | 0.99        |
|    value_loss           | 1.11        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 56.2         |
|    ep_rew_mean          | -55.7        |
| time/                   |              |
|    fps                  | 100          |
|    iterations           | 5            |
|    time_elapsed         | 254          |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0057287267 |
|    clip_fraction        | 0.058        |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.82        |
|    explained_variance   | 0.762        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.553        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00602     |
|    std                  | 0.988        |
|    value_loss           | 1.06         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 58.6        |
|    ep_rew_mean          | -11.4       |
| time/                   |             |
|    fps                  | 100         |
|    iterations           | 6           |
|    time_elapsed         | 306         |
|    total_timesteps      | 30720       |
| train/                  |             |
|    approx_kl            | 0.008197562 |
|    clip_fraction        | 0.0723      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.81       |
|    explained_variance   | 0.746       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.322       |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.00751    |
|    std                  | 0.983       |
|    value_loss           | 0.86        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.6        |
|    ep_rew_mean          | 33.1        |
| time/                   |             |
|    fps                  | 100         |
