Using cpu device
Logging to C:\Users\hntran\OneDrive - University of Tasmania\Documents\PhD\asv-path-replanning\asv-lidar\static_dynamic_obstacles\runs\tensorboard\ppo_formulation_seed0_v6_2
[CURRICULUM] t=0 -> scenario stage 1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 49.7     |
|    ep_rew_mean     | -192     |
| time/              |          |
|    fps             | 100      |
|    iterations      | 1        |
|    time_elapsed    | 51       |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 55.1         |
|    ep_rew_mean          | -239         |
| time/                   |              |
|    fps                  | 102          |
|    iterations           | 2            |
|    time_elapsed         | 99           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0038451508 |
|    clip_fraction        | 0.0188       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.00277     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.15         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00377     |
|    std                  | 1            |
|    value_loss           | 3.58         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 60.7         |
|    ep_rew_mean          | -175         |
| time/                   |              |
|    fps                  | 103          |
|    iterations           | 3            |
|    time_elapsed         | 148          |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0073144212 |
|    clip_fraction        | 0.0646       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.748        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.386        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00841     |
|    std                  | 0.996        |
|    value_loss           | 1.07         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 59.4        |
|    ep_rew_mean          | -102        |
| time/                   |             |
|    fps                  | 102         |
|    iterations           | 4           |
|    time_elapsed         | 199         |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.010702928 |
|    clip_fraction        | 0.129       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.776       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.438       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0158     |
|    std                  | 0.989       |
|    value_loss           | 0.943       |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 62.6       |
|    ep_rew_mean          | -16.6      |
| time/                   |            |
|    fps                  | 104        |
|    iterations           | 5          |
|    time_elapsed         | 244        |
|    total_timesteps      | 25600      |
| train/                  |            |
|    approx_kl            | 0.00613973 |
|    clip_fraction        | 0.0704     |
|    clip_range           | 0.2        |
|    entropy_loss         | -2.81      |
|    explained_variance   | 0.762      |
|    learning_rate        | 0.0003     |
|    loss                 | 0.269      |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0111    |
|    std                  | 0.989      |
|    value_loss           | 0.829      |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.6         |
|    ep_rew_mean          | 21.1         |
| time/                   |              |
|    fps                  | 105          |
|    iterations           | 6            |
