Using cpu device
Logging to C:\Users\hntran\OneDrive - University of Tasmania\Documents\PhD\asv-path-replanning\asv-lidar\static_dynamic_obstacles\runs\tensorboard\ppo_formulation_seed0_v12_1
[CURRICULUM] t=0 -> scenario stage 1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 52.5     |
|    ep_rew_mean     | -193     |
| time/              |          |
|    fps             | 216      |
|    iterations      | 1        |
|    time_elapsed    | 23       |
|    total_timesteps | 5120     |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 53.7         |
|    ep_rew_mean          | -190         |
| time/                   |              |
|    fps                  | 210          |
|    iterations           | 2            |
|    time_elapsed         | 48           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0038187653 |
|    clip_fraction        | 0.0229       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | -0.00262     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.02         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00375     |
|    std                  | 0.997        |
|    value_loss           | 3.23         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 57.8         |
|    ep_rew_mean          | -182         |
| time/                   |              |
|    fps                  | 210          |
|    iterations           | 3            |
|    time_elapsed         | 72           |
|    total_timesteps      | 15360        |
| train/                  |              |
|    approx_kl            | 0.0060954643 |
|    clip_fraction        | 0.0473       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.658        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.605        |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00733     |
|    std                  | 0.994        |
|    value_loss           | 1.38         |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 60.5        |
|    ep_rew_mean          | -134        |
| time/                   |             |
|    fps                  | 208         |
|    iterations           | 4           |
|    time_elapsed         | 98          |
|    total_timesteps      | 20480       |
| train/                  |             |
|    approx_kl            | 0.010387929 |
|    clip_fraction        | 0.118       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.779       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.412       |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0137     |
|    std                  | 0.991       |
|    value_loss           | 1.08        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.7         |
|    ep_rew_mean          | -36.1        |
| time/                   |              |
|    fps                  | 207          |
|    iterations           | 5            |
|    time_elapsed         | 123          |
|    total_timesteps      | 25600        |
| train/                  |              |
|    approx_kl            | 0.0070099086 |
|    clip_fraction        | 0.0759       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.781        |
|    learning_rate        | 0.0003       |
|    loss                 | 0.499        |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.0106      |
|    std                  | 0.977        |
|    value_loss           | 0.983        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 63.3         |
|    ep_rew_mean          | -18.8        |
| time/                   |              |
|    fps                  | 207          |
|    iterations           | 6            |
|    time_elapsed         | 148          |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0066128224 |
|    clip_fraction        | 0.0721       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.78        |
|    explained_variance   | 0.72         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.219        |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.0103      |
|    std                  | 0.97         |
|    value_loss           | 0.749        |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 62.4         |
|    ep_rew_mean          | 5.72         |
| time/                   |              |
|    fps                  | 206          |
|    iterations           | 7            |
|    time_elapsed         | 173          |
|    total_timesteps      | 35840        |
| train/                  |              |
|    approx_kl            | 0.0071379347 |
|    clip_fraction        | 0.0799       |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.77        |
|    explained_variance   | 0.82         |
|    learning_rate        | 0.0003       |
|    loss                 | 0.263        |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.0132      |
|    std                  | 0.968        |
|    value_loss           | 0.62         |
------------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 61.5       |
|    ep_rew_mean          | 58.2       |
| time/                   |            |
|    fps                  | 206        |
|    iterations           | 8          |
|    time_elapsed         | 198        |
|    total_timesteps      | 40960      |
| train/                  |            |
|    approx_kl            | 0.00653371 |
|    clip_fraction        | 0.0618     |
|    clip_range           | 0.2        |
